Refererence set,Term,Preferred Term,Concept Id
Sykepleierdiagnoser,At increased risk of deep vein thrombosis (finding),risiko for djup venetrombose,225999004
Sykepleierdiagnoser,Difficulty transferring location (finding),vansker med forflytning,714884000
Sykepleierdiagnoser,At increased risk of intimate partner violence (finding),risiko for mishandling fra intimpartner,22791000175108
Sykepleierdiagnoser,Transplanted organ rejection (disorder),avstøtning av transplantert organ,213148006
Sykepleierdiagnoser,Adjustment disorder (disorder),tilpassingsforstyrring,17226007
Sykepleierdiagnoser,Discharge planning (procedure),planlegging av utskriving,371754007
Sykepleierdiagnoser,Extravasation of lymph onto skin (disorder),lymfelekkasje til hud,443903000
Sykepleierdiagnoser,At increased risk of impaired family coping (finding),risiko for svekket familiemestring,704351003
Sykepleierdiagnoser,Social isolation (finding),sosial isolasjon,422650009
Sykepleierdiagnoser,Impaired mobility (finding),nedsett mobilitet,82971005
Sykepleierdiagnoser,At increased risk of coping impairment (finding),risiko for mestringssvikt,704421005
Sykepleierdiagnoser,Fever (finding),feber,386661006
Sykepleierdiagnoser,Overflow incontinence of urine (finding),overløpsinkontinens,397878005
Sykepleierdiagnoser,Surgical wound finding (finding),funn om operasjonssår,419635000
Sykepleierdiagnoser,Difficulty with caretaking responsibilities (finding),vansker med omsorgsgiveransvar,423754004
Sykepleierdiagnoser,At increased risk of ulcer of foot due to diabetes mellitus (finding),risiko for diabetisk fotsår,714664001
Sykepleierdiagnoser,"Need for management of belief, values and spiritual needs (finding)","behov for ivaretakelse av livssyn, verdier og eksistensielle behov",377411000202103
Sykepleierdiagnoser,At increased risk of negative response to patient controlled analgesia (finding),risiko for negativ respons på pasientstyrt analgesi,704416007
Sykepleierdiagnoser,Overeating (finding),overeting,58424009
Sykepleierdiagnoser,Splitting - mental defense mechanism (finding),splitting - psykisk forsvarsmekanisme,286688002
Sykepleierdiagnoser,Excessive cerumen in ear canal (disorder),opphoping av øyrevoks i øyregang,126946000
Sykepleierdiagnoser,Difficulty swallowing (finding),svelgevansker,288939007
Sykepleierdiagnoser,At increased risk for spiritual distress (finding),risiko for eksistensiell krise,129701007
Sykepleierdiagnoser,Altered immunity (finding),endret immunitet,131145007
Sykepleierdiagnoser,Overweight (finding),overvektig,238131007
Sykepleierdiagnoser,Noncompliance with exercise regimen (finding),etterlever ikke treningsopplegg,704662005
Sykepleierdiagnoser,Euphoria (finding),eufori,85949006
Sykepleierdiagnoser,Poor manual dexterity (finding),nedsett finmotorikk i hand,306741005
Sykepleierdiagnoser,Decreased respiratory function (finding),redusert respiratorisk funksjon,80954004
Sykepleierdiagnoser,Alcohol dependence (disorder),alkoholavhengnad,66590003
Sykepleierdiagnoser,At increased risk of cross-infection (finding),risiko for kryssinfeksjon,225943002
