<Sykepleierdiagnoser>
ID|Term_EN|Term_NO
225999004|At increased risk of deep vein thrombosis (finding)|risiko for djup venetrombose
714884000|Difficulty transferring location (finding)|vansker med forflytning
22791000175108|At increased risk of intimate partner violence (finding)|risiko for mishandling fra intimpartner
213148006|Transplanted organ rejection (disorder)|avstøtning av transplantert organ
17226007|Adjustment disorder (disorder)|tilpassingsforstyrring
371754007|Discharge planning (procedure)|planlegging av utskriving
443903000|Extravasation of lymph onto skin (disorder)|lymfelekkasje til hud
704351003|At increased risk of impaired family coping (finding)|risiko for svekket familiemestring
422650009|Social isolation (finding)|sosial isolasjon
82971005|Impaired mobility (finding)|nedsett mobilitet
704421005|At increased risk of coping impairment (finding)|risiko for mestringssvikt
386661006|Fever (finding)|feber
397878005|Overflow incontinence of urine (finding)|overløpsinkontinens
419635000|Surgical wound finding (finding)|funn om operasjonssår
423754004|Difficulty with caretaking responsibilities (finding)|vansker med omsorgsgiveransvar
714664001|At increased risk of ulcer of foot due to diabetes mellitus (finding)|risiko for diabetisk fotsår
377411000202103|Need for management of belief, values and spiritual needs (finding)|behov for ivaretakelse av livssyn, verdier og eksistensielle behov
704416007|At increased risk of negative response to patient controlled analgesia (finding)|risiko for negativ respons på pasientstyrt analgesi
58424009|Overeating (finding)|overeting
286688002|Splitting - mental defense mechanism (finding)|splitting - psykisk forsvarsmekanisme
126946000|Excessive cerumen in ear canal (disorder)|opphoping av øyrevoks i øyregang
288939007|Difficulty swallowing (finding)|svelgevansker
129701007|At increased risk for spiritual distress (finding)|risiko for eksistensiell krise
131145007|Altered immunity (finding)|endret immunitet
238131007|Overweight (finding)|overvektig
704662005|Noncompliance with exercise regimen (finding)|etterlever ikke treningsopplegg
85949006|Euphoria (finding)|eufori
306741005|Poor manual dexterity (finding)|nedsett finmotorikk i hand
80954004|Decreased respiratory function (finding)|redusert respiratorisk funksjon
66590003|Alcohol dependence (disorder)|alkoholavhengnad
225943002|At increased risk of cross-infection (finding)|risiko for kryssinfeksjon
704489009|Lack of family support (finding)|manglende pårørendestøtte
704681002|At increased risk of negative quality of life (finding)|risiko for negativ livskvalitet
284670008|Nutritionally compromised (finding)|svekt ernæringsstatus
704370008|Impairment of infant development (finding)|nedsett spedbarnsutvikling
363681007|Pregnancy with abortive outcome (disorder)|svangerskap som blir avslutta med spontan eller provosert abort
425022003|Inadequate social support (finding)|utilstrekkeleg sosial støtte
301822002|Abnormal vaginal bleeding (finding)|unormal vaginalblødning
704363008|At increased risk of impaired infant development (finding)|risiko for forseinka spedbarnsutvikling
2472002|Anuria (finding)|anuri
277843001|Problem behavior (finding)|problemåtferd
406161008|Alteration in parenting (finding)|endring i foreldreskap
698247007|Cardiac arrhythmia (disorder)|hjartearytmi
413588007|At increased risk for dysfunctional grieving (finding)|risiko for dysfunksjonell sorg
284778005|Difficulty performing personal care activity (finding)|vanskar med utføring av eigenomsorg
705045007|Difficulty participating in care planning (finding)|vanskar med å delta i planlegging av helsehjelp
48867003|Bradycardia (finding)|bradykardi
409032006|Perioperative positioning injury (disorder)|perioperativ leiringsskade
247404004|Allodynia (finding)|allodyni
