ID|Term_EN|Term_NO
637961000202104|Administration of analgesic via epidural route (procedure)|epidural administrasjon av smertestillande
408896001|Wandering control assessment (procedure)|vurdering av kontrolltiltak ved vandring
372037007|Implementation of latex allergy precautions (procedure)|førebygging av lateksallergi
711116007|Facilitation of drug abuse recovery (procedure)|tilrettelegging for recovery etter rusmisbruk
386444001|Spiritual support (regime/therapy)|åndelig støtte
53950000|Respiratory therapy (procedure)|respirasjonsbehandling
386230005|Case management (procedure)|koordinering av helse- og sosialtenester
711044006|Liaising with prescribing provider to initiate nurse controlled analgesia (procedure)|samarbeid med rekvirerande helsepersonell om oppstart av sjukepleiestyrt anelgesi
711007006|Measurement of chest circumference (procedure)|måling av brystomkrets
709486004|Assessment of knowledge of physical therapy (procedure)|vurdering av kunnskap om fysioterapi
710071003|Management of peritoneal dialysis (procedure)|handtering av peritonealdialyse
386494000|Visitation facilitation (procedure)|tilrettelegging for besøk
507851000202105|Education about everyday coping (procedure)|undervisning om hverdagsmestring
60369001|Bathing patient (procedure)|vasking av pasient
229912004|Enteral feeding (regime/therapy)|enteral ernæring
278151000202104|Evaluation of need for intermittent compression therapy (procedure)|vurdering av behov for intermitterande kompresjonsbehandling
281691001|Physiological monitoring regime (regime/therapy)|fysiologisk overvåking
18211000202106|Interdisciplinary cooperation (procedure)|tverrfagleg samarbeid
444713005|Assessment of catheter entry site (procedure)|vurdering av innstikkstad for kateter
410103006|Stress control education (procedure)|undervisning om stresshandtering
385899006|Ear care education (procedure)|undervisning om øyrestell
397619005|Family planning education (procedure)|undervisning om familieplanlegging
386353009|Administration of drug or medicament via ophthalmic route (procedure)|administrasjon av legemiddel i øye
711024000|Identification of altered perception (procedure)|avklaring av endret persepsjon
410390008|Growth/development surveillance (regime/therapy)|overvåking av vekst og utvikling
715592005|Chest drain care management (procedure)|handtering av stell av thoraxdren
627821000202100|Facilitation according to age and developement (regime/therapy)|tilrettelegging etter alder og utvikling
171044003|Education about immunization (procedure)|undervisning om vaksinasjon
15431000202106|Promoting satisfactory residence and accommodation circumstances (procedure)|fremming av tilfredsstillende boforhold
710998001|Monitoring for child abuse (regime/therapy)|overvaking mot barnemishandling
711004004|Monitoring activity tolerance (regime/therapy)|overvåking av aktivitetstoleranse
710720008|Education about head lice infestation (procedure)|undervisning om hodelus
711041003|Assessment of skin integrity (procedure)|vurdering av hudintegritet
410394004|Lab findings surveillance (regime/therapy)|overvåking av laboratoriesvar
28792004|Preoperative preparation of skin (procedure)|preoperativ førebuing av hud
28812006|Hemodialysis education (procedure)|undervisning om hemodialyse
710895002|Education about use of covering device (procedure)|opplæring i bruk av tildekningsutstyr
710883002|Education about increasing activity tolerance (procedure)|undervisning om å øke aktivitetstoleranse
183051005|Recommendation to rest (procedure)|tilråding om kvile
408880004|Nausea care assessment (procedure)|vurdering av kvalmebehandling
1153512009|Liaising with health care provider on medication reconciliation (procedure)|samarbeid med helsepersonell om lækjemiddelsamstemming
386368005|Nausea care (regime/therapy)|kvalmebehandling
1153558005|Education about bowel elimination (procedure)|undervisning om eliminasjon av avføring
225340009|Housing assessment (procedure)|vurdering av bolig
169251004|Ultrasonography of urinary bladder (procedure)|ultralyd av urinblære
307818003|Weight monitoring (regime/therapy)|overvaking av vekt
711123008|Evaluation of specimen care management (procedure)|evaluering av rutine for handtering av prøvemateriale
347361000202107|Management of targeted medicinal cancer treatment (procedure)|håndtering av målrettet medikamentell kreftbehandling
497581000202106|Gastric retention care (regime/therapy)|pleie ved ventrikkelretensjon
401221002|Ankle brachial pressure index (procedure)|måling av ankel-arm-indeks
371735007|Procedure specific positioning (procedure)|prosedyrespesifikk leiring
710454008|Contracting for positive behavior (procedure)|avtale om positiv åtferd
710848001|Assessment of eating and drinking behavior (procedure)|vurdering av spise- og drikkeatferd
14511000202103|Assessment of aspirate (procedure)|vurdering av aspirat
710574004|Demonstrating medication administration (procedure)|demonstrasjon av legemiddeladministrasjon
386366009|Mood management (procedure)|håndtering av stemningsleie
710077004|Screening of infant prior to discharge (procedure)|nyfødtundersøkelse før utskrivning
733863009|Assessment of readiness for self-management (procedure)|vurdering av om pasient er klar for eigenhandtering
710558009|Assessment of self image (procedure)|vurdering av selvbilde
709488003|Assessment of mood (procedure)|vurdering av stemningsleie
710952002|Advocating for breastfeeding (procedure)|fremjing av amming
477541000202107|Administration of multimodal analgesia (procedure)|administrasjon av multimodal analgesi
711031001|Contracting for adherence (procedure)|avtale om etterlevelse
710556008|Pre-operative assessment of skin integrity (procedure)|preoperativ vurdering av hudintegritet
45211000|Catheterization (procedure)|kateterisering
698530005|Education about safe storage and management of medication (procedure)|undervisning om sikker lagring og håndtering av legemidler
12121000202107|Evaluation of decision-making capacity (procedure)|vurdering av samtykkekompetanse
68061000202104|Discontinue life-prolonging treatment (procedure)|avvikling av livsforlengjande behandling
710143007|Promotion of child development (procedure)|fremjing av barns utvikling
370771002|Maintenance of invasive device (procedure)|stell av invasivt utstyr
710821002|Support of spiritual ritual (regime/therapy)|støtte til åndelig ritual
385948000|Dressing change education (procedure)|opplæring i å skifte sårbandasje
702545008|Psychoeducation (procedure)|psykoedukasjon
225316001|Bedrest (regime/therapy)|sengeleie
709510001|Assessment of risk for disease (procedure)|vurdering av sjukdomsrisiko
395076009|Bereavement support (regime/therapy)|støtte etter dødsfall
